cluster ID,ADM2_TH,area_sqkm,days_ago,landcover_type,lat,lon,temperature_k
1,สังขละบุรี,14.1718714375,2,forest/trees,15.1211326401072,98.2160343230035,354.109985351562
2,สังขละบุรี,1.21434028125,7,forest/trees,15.1910729015137,98.2212317185759,308.899993896484
3,สังขละบุรี,0.80974265625,8,forest/trees,15.1422270079397,98.2509884123624,335.260009765625
4,สังขละบุรี,2.294018265625,9,forest/trees,15.1661050208227,98.2661474827819,340.170013427734
5,สังขละบุรี,3.238150390625,6,forest/trees,15.1971084573289,98.263340247519,330.799987792969
6,สังขละบุรี,0.53975296875,7,forest/trees,15.1725451487787,98.2880439178323,304.140014648438
7,สังขละบุรี,0.53957634375,8,forest/trees,15.2432874774031,98.3200463998291,342.440002441406
8,สังขละบุรี,2.96742334375,7,forest/trees,15.2612027424444,98.3122371817342,338.109985351563
9,สังขละบุรี,10.663561,7,forest/trees,15.1024637641529,98.3425184957815,352.200012207031
10,ทองผาภูมิ,1.216117453125,9,forest/trees,14.8710480815461,98.342504281932,305.839996337891
11,ทองผาภูมิ,1.21583925,3,forest/trees,14.9215783162778,98.3514874347732,339.920013427734
12,สังขละบุรี,2.159967578125,2,forest/trees,15.0763271601437,98.3564702773648,335.149993896484
13,ทองผาภูมิ,1.21619146875,9,forest/trees,14.8575733522843,98.3615934817196,331.920013427734
14,ทองผาภูมิ,2.4318209375,8,forest/trees,14.9086650340686,98.3623420777897,335.299987792969
15,สังขละบุรี,0.81035484375,3,forest/trees,14.9771615744827,98.3672079522453,348.799987792969
16,ทองผาภูมิ,16.0903079375,6,forest/trees,14.725373802594,98.3751908800853,351.040008544922
17,สังขละบุรี,0.5399621875,2,forest/trees,15.0883280908925,98.3739453168762,333.619995117188
18,ทองผาภูมิ,1.757176296875,2,forest/trees,14.8000466235128,98.3850878814581,312.390014648438
19,ทองผาภูมิ,9.733263109375,6,forest/trees,14.7723737620561,98.4016433714699,354.5
20,สังขละบุรี,4.587200890625,2,forest/trees,15.2055384196918,98.4004984598333,337.690002441406
21,สังขละบุรี,28.76597975,2,forest/trees,14.9894896865245,98.3906463897641,367
22,สังขละบุรี,0.8105966875,7,forest/trees,14.9114722693315,98.4081935870833,332.959991455078
23,ทองผาภูมิ,10.14213865625,5,forest/trees,14.6991554519298,98.4156720618236,348
24,ทองผาภูมิ,1.3511160625,9,shrub&crub,14.8915970436703,98.4083058764938,330.880004882812
25,ทองผาภูมิ,4.597036796875,7,forest/trees,14.7348146055537,98.4160538458193,344.380004882812
26,สังขละบุรี,1.754658875,3,forest/trees,15.1154071141205,98.4141103752527,340.329986572266
27,สังขละบุรี,0.80986809375,7,forest/trees,15.1085401847852,98.424475551608,304.970001220703
28,สังขละบุรี,2.4287184375,6,forest/trees,15.1877042191982,98.4171767399245,341.799987792969
29,สังขละบุรี,1.213485515625,7,forest/trees,15.3426636057089,98.4222297633977,343.820007324219
30,สังขละบุรี,0.80949715625,7,forest/trees,15.2079163130909,98.4272827868708,330.890014648437
31,ทองผาภูมิ,1.21690959375,9,forest/trees,14.7261947419818,98.4334587044492,334.429992675781
32,ทองผาภูมิ,2.026448375,6,forest/trees,14.9161884245731,98.4341324409122,350.529998779297
33,สังขละบุรี,0.80920628125,8,forest/trees,15.2853960063462,98.4452490925532,345.720001220703
34,ทองผาภูมิ,16.63641590625,3,forest/trees,14.65452123288,98.4301447974559,353.070007324219
35,ทองผาภูมิ,7.304588625,7,forest/trees,14.630000146974,98.4579752257449,356.079986572266
36,สังขละบุรี,1.61974459375,8,forest/trees,15.1074172906801,98.4570394806573,344.089996337891
37,สังขละบุรี,1.07908528125,8,forest/trees,15.2567622066649,98.4648997393933,349.920013427734
38,ทองผาภูมิ,1.351936234375,8,forest/trees,14.7568497510524,98.4655734758564,339.299987792969
39,สังขละบุรี,0.809174578125,6,forest/trees,15.2938177121349,98.4750057863397,307.600006103516
40,สังขละบุรี,1.213866421875,7,forest/trees,15.2752899593999,98.4806202568654,306.190002441406
41,สังขละบุรี,2.024137609375,6,forest/trees,15.1656954947373,98.4862347273912,308.869995117188
42,สังขละบุรี,3.78136171875,6,forest/trees,14.9942456062254,98.4842696627072,342.540008544922
43,สังขละบุรี,1.21452909375,8,forest/trees,15.1573860783592,98.4997094566529,340.480010986328
44,ทองผาภูมิ,23.40609728125,5,forest/trees,14.5879814062879,98.5010595258661,367
45,สังขละบุรี,1.755599921875,8,shrub&crub,14.9982806213065,98.5094699977208,346.170013427734
46,สังขละบุรี,5.132795828125,6,forest/trees,14.9536694478092,98.5212808434098,356.029998779297
47,ทองผาภูมิ,1.217766796875,7,forest/trees,14.5678666731558,98.5199215505456,305.609985351562
48,สังขละบุรี,0.8090094375,9,forest/trees,15.3376105822357,98.5238516799137,336.640014648437
49,สังขละบุรี,4.184520125,7,forest/trees,15.0980538027387,98.5432487700204,354.549987792969
50,สังขละบุรี,1.619936625,2,shrub&crub,15.0815907262616,98.5541698207527,353.660003662109
51,ไทรโยค,8.5290616875,3,forest/trees,14.4427976583013,98.5767079095775,349.279998779297
52,ไทรโยค,1.218271046875,7,forest/trees,14.4739178663583,98.5670831029619,307.559997558594
53,สังขละบุรี,0.673501078125,7,forest/trees,15.5501744363405,98.5700026276353,343.910003662109
54,สังขละบุรี,2.558175546875,7,forest/trees,15.6430082289914,98.5719883772107,346.609985351562
55,ไทรโยค,1.3535024375,7,forest/trees,14.4961137398367,98.5720238370246,339.779998779297
56,สังขละบุรี,4.184014390625,6,forest/trees,15.1243512582335,98.5686768881434,340.480010986328
57,สังขละบุรี,0.404171046875,3,shrub&crub,15.5133435096916,98.5783120440134,335.25
58,ทองผาภูมิ,5.8134243125,5,forest/trees,14.7530658590562,98.5836653763752,355.320007324219
59,สังขละบุรี,1.618048515625,7,forest/trees,15.3336804528677,98.5811192792763,340.790008544922
60,สังขละบุรี,1.482562015625,7,forest/trees,15.4271869074419,98.5877035219838,367
61,สังขละบุรี,0.53906090625,8,shrub&crub,15.4479349280666,98.5870144733283,334.130004882812
62,สังขละบุรี,6.07396590625,6,forest/trees,15.1101496663359,98.5867711796056,340.790008544922
63,ทองผาภูมิ,1.353112515625,2,shrub&crub,14.5614661767564,98.590214721528,307.130004882812
64,สังขละบุรี,1.8870766875,7,forest/trees,15.4069091898678,98.5890597447341,340.239990234375
65,สังขละบุรี,2.295386,7,forest/trees,15.0363116727863,98.5980617697452,356.010009765625
66,สังขละบุรี,10.9290099375,2,forest/trees,15.1921126182777,98.5932007880743,353.929992675781
67,ทองผาภูมิ,7.978092484375,6,forest/trees,14.7100935824402,98.596963505421,356.470001220703
68,สังขละบุรี,5.12338476562501,7,forest/trees,15.351883157309,98.6065616957114,351.450012207031
69,สังขละบุรี,2.156767953125,6,forest/trees,15.3961414374666,98.6025946290373,304.5
70,สังขละบุรี,1.21244878125,8,forest/trees,15.5245724507431,98.605261502537,348.079986572266
71,ทองผาภูมิ,1.893784703125,9,forest/trees,14.6297060556608,98.6080687377999,341.25
72,ทองผาภูมิ,4.192638921875,7,forest/trees,14.6694704784765,98.6060583951278,339.459991455078
73,ทองผาภูมิ,3.109374328125,8,forest/trees,14.7625179252093,98.6075561122301,351.640014648437
74,สังขละบุรี,1.21254525,7,forest/trees,15.5077290391658,98.6086301848525,301.890014648438
75,สังขละบุรี,4.714840421875,6,shrub&crub,15.5352559860863,98.6202441181686,347.910003662109
76,สังขละบุรี,0.808054125,8,forest/trees,15.5885774147366,98.6170518906411,340.510009765625
77,ทองผาภูมิ,3.243316921875,7,forest/trees,14.8480287523905,98.6173326141674,313.670013427734
78,สังขละบุรี,2.0266029375,2,forest/trees,14.8993450129959,98.6247998599666,347.640014648437
79,สังขละบุรี,1.212795703125,7,forest/trees,15.463936169065,98.6221049141142,335.769989013672
80,สังขละบุรี,2.29049409375,7,forest/trees,15.4956414143869,98.6236241237859,341.829986572266
81,สังขละบุรี,2.0258529375,7,forest/trees,14.9808671250297,98.6292914363872,348.059997558594
82,สังขละบุรี,4.455545296875,6,forest/trees,15.0463216432317,98.62414653976,339.779998779297
83,ไทรโยค,11.371365265625,5,forest/trees,14.4571813970768,98.6236689451893,344
84,ทองผาภูมิ,1.352831984375,7,forest/trees,14.6082908609411,98.6282808316926,320.119995117187
85,ทองผาภูมิ,1.892269859375,7,forest/trees,14.8087274587103,98.6292433123541,346.269989013672
86,สังขละบุรี,3.64764584375,9,forest/trees,14.9138428235535,98.6339576852242,344.079986572266
87,สังขละบุรี,2.830016859375,7,forest/trees,15.4519051607955,98.6203403662347,346.040008544922
88,ทองผาภูมิ,6.62979328125,7,forest/trees,14.5770789880592,98.6367712860999,367
89,ทองผาภูมิ,2.028883671875,7,forest/trees,14.6487150487265,98.6288422787452,315.429992675781
90,ทองผาภูมิ,1.89326965625,5,forest/trees,14.6908235776696,98.6386274988043,333.809997558594
91,สังขละบุรี,7.686584046875,2,forest/trees,15.3098632779005,98.6316790638529,352.929992675781
92,ทองผาภูมิ,1.216560515625,8,shrub&crub,14.7901997059753,98.6344567492709,336.390014648437
93,สังขละบุรี,1.8868934375,7,shrub&crub,15.4276025240912,98.6311682736772,337.369995117187
94,สังขละบุรี,15.25050134375,6,forest/trees,15.1372634185103,98.634407063691,352.549987792969
95,สังขละบุรี,1.212872625,9,forest/trees,15.4504614398032,98.6411941139018,331.660003662109
96,ทองผาภูมิ,3.245187953125,6,forest/trees,14.7195977391141,98.6395097727441,342.980010986328
97,สังขละบุรี,5.797038140625,4,forest/trees,15.369456381334,98.6396795125507,355.450012207031
98,ไทรโยค,3.520169328125,7,forest/trees,14.427288968838,98.650177266743,310.040008544922
99,ทองผาภูมิ,6.488950359375,8,forest/trees,14.7686541753328,98.6512299799666,351.350006103516
100,สังขละบุรี,2.156621015625,8,forest/trees,15.410668879952,98.6552302902162,348.920013427734
101,สังขละบุรี,0.8082734375,8,forest/trees,15.531309815374,98.6563531843213,340.170013427734
102,ทองผาภูมิ,0.541096375,7,shrub&crub,14.6234499313607,98.6619676548471,326.079986572266
103,สังขละบุรี,1.21289184375,9,forest/trees,15.4470927574877,98.6591604195842,333.779998779297
104,ทองผาภูมิ,1.6210674375,6,forest/trees,14.928596404435,98.6608447607419,326.760009765625
105,ทองผาภูมิ,1.21646840625,9,forest/trees,14.8070431175526,98.6692664665305,333.730010986328
106,ทองผาภูมิ,2.16238090625,4,forest/trees,14.8306238937607,98.6714420738593,341.380004882812
107,สังขละบุรี,1.212834140625,8,forest/trees,15.4571988044341,98.6715122547408,339.640014648438
108,ทองผาภูมิ,1.756051234375,4,forest/trees,14.9417904101705,98.6771267252666,330.350006103516
109,ทองผาภูมิ,0.54020340625,8,forest/trees,14.9906363037445,98.6889171133706,339.420013427734
110,สังขละบุรี,0.943492546875,7,forest/trees,15.4172558569795,98.6862702915514,332.640014648437
111,ทองผาภูมิ,5.954416171875,6,forest/trees,14.5340267280779,98.6932045272267,343.399993896484
112,ทองผาภูมิ,1.2164315625,8,forest/trees,14.8137804821835,98.6995846073696,341.130004882812
113,สังขละบุรี,0.8087416875,7,forest/trees,15.4083529108601,98.7007075014747,355.119995117187
114,ไทรโยค,1.218578859375,9,grass,14.4162759689606,98.702953289685,339.700012207031
115,ทองผาภูมิ,0.54059934375,7,forest/trees,14.828939552603,98.7057605249479,303.929992675781
116,ไทรโยค,2.301638390625,7,forest/trees,14.4283635937396,98.7129932840369,346.730010986328
117,ทองผาภูมิ,1.622948765625,4,forest/trees,14.6706114837769,98.7091292072633,339.709991455078
118,ทองผาภูมิ,1.216080421875,8,forest/trees,14.877785446177,98.7085677602108,330.769989013672
119,ทองผาภูมิ,0.540368875,7,forest/trees,14.9232626574356,98.710813548421,338.429992675781
120,สังขละบุรี,63.6499297500001,2,shrub&crub,15.3111250312344,98.7888570677419,367
121,ทองผาภูมิ,1.218038390625,6,shrub&crub,14.517336438424,98.7265340658932,337.339996337891
122,สังขละบุรี,1.212949453125,8,forest/trees,15.4369867105414,98.725411171788,336.709991455078
123,ทองผาภูมิ,2.16182396875,9,forest/trees,14.8876809504786,98.7270253320641,343.190002441406
124,สังขละบุรี,0.80879278125,2,forest/trees,15.3948781815983,98.729341301156,335.089996337891
125,สังขละบุรี,4.7174563125,6,forest/trees,15.417544601178,98.7241920296167,340.720001220703
126,ทองผาภูมิ,4.59951546875,4,forest/trees,14.6138392788725,98.7455902393835,340.459991455078
127,ทองผาภูมิ,1.216813828125,7,forest/trees,14.7437867496292,98.7422545833652,322.420013427734
128,ทองผาภูมิ,1.2160989375,9,forest/trees,14.8744167638616,98.7422545833652,339.619995117187
129,ทองผาภูมิ,3.78393675,5,forest/trees,14.8440986230225,98.7404098287639,340.660003662109
130,ทองผาภูมิ,2.02750875,9,forest/trees,14.8003057529217,98.7498902632803,348.320007324219
131,ทองผาภูมิ,1.21637615625,8,forest/trees,14.8238865291298,98.7635895713631,337.519989013672
132,ทองผาภูมิ,0.81047278125,7,forest/trees,14.945159092486,98.7652739125208,304.089996337891
133,ทองผาภูมิ,2.970977765625,8,forest/trees,15.0010485945377,98.7758903658786,356.670013427734
134,ไทรโยค,67.4328319843748,3,forest/trees,14.3999669467467,98.8029788025335,367
135,ทองผาภูมิ,0.675922140625,7,forest/trees,14.7720088214719,98.7842508228978,309.940002441406
136,ทองผาภูมิ,2.295989875,7,forest/trees,14.9786477578572,98.7926527129081,346.329986572266
137,ไทรโยค,3.523400203125,7,forest/trees,14.2160985006003,98.77818719473,335.910003662109
138,ทองผาภูมิ,2.97181415625,7,forest/trees,14.9391873374722,98.7931931432261,338.010009765625
139,สังขละบุรี,0.5391951875,7,forest/trees,15.3948781815983,98.7933462651495,305.75
140,ไทรโยค,13.548989875,3,forest/trees,14.2596659281154,98.8021385259929,347.299987792969
141,ทองผาภูมิ,1.487101484375,7,forest/trees,14.7611065405237,98.8011554832444,303.820007324219
142,ทองผาภูมิ,1.620523125,7,forest/trees,15.0024266918486,98.8023294179907,347.760009765625
143,ไทรโยค,7.856108828125,5,forest/trees,14.3273543719787,98.8056012990902,346.25
144,สังขละบุรี,2.022340015625,7,forest/trees,15.3570366502548,98.8103019661373,344.670013427734
145,ทองผาภูมิ,1.351731859375,6,forest/trees,14.7905365742069,98.8192851189785,333.600006103516
146,ทองผาภูมิ,0.81078815625,3,forest/trees,14.859257693442,98.8219800648308,331.529998779297
147,สังขละบุรี,0.80897128125,8,forest/trees,15.347716629182,98.8219800648308,334.109985351562
148,ทองผาภูมิ,3.920349328125,7,forest/trees,14.7719623568883,98.825116424228,344.269989013672
